chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
bnb,0xd0a20458d96a1ab3f1f43e7270185546aa760dbf,1,$币安人生,5,⭐,1
bnb,0xd2abcef40a51c779c2a890dd40f041ab995ed3af,1,$MarsCoin,2,⭐,1
bnb,0xe08e402cbb388f3e29e94defe8f7c568d8d8b0b8,1,$BANANAS31,7,⭐,1
bnb,0xe723be8a9c4c955de06008af0ffe3d1eb5eebc45,1,$币安人生,5,⭐,1
bnb,0xeccbb861c0dda7efd964010085488b69317e4444,1,$龙虾,6,⭐,1
bnb,0xedbc898788d33781b11eb76865f766ed7b578216,1,$b-money,11,⭐,1
bnb,0xf49725118cb0707b8706ffffe895f3ab16da7777,1,$b-money,11,⭐,1
bnb,0xf524091251a52ede038f0327a5cab078979ab326,1,$SIREN,8,⭐,1
bnb,0xf70da97812cb96acdf810712aa562db8dfa3dbef,1,$MarsCoin,2,⭐,1
bnb,0xfcf3fa7a3f6075a56e86f8dde474cf966c8af26f,1,$BANANAS31,7,⭐,1
bnb,0xfde7c07b564f314d5ee6f7746e2d92e55c2ad695,1,$SIREN,8,⭐,1
bnb,0xfe189e97832da1573e4e4ff034f4ffc3a15c7777,1,$MarsCoin,2,⭐,1
robinhood,0x1d4f6f17baa6e2938ec4f5e8a68c68348a058560,1,$SLINK,1,⭐,1
robinhood,0x4f55879a6683c2cb46f9710678dbc8c49ea54f5b,1,$SLINK,1,⭐,1
robinhood,0x5b43c6264ce8ec9ba4ae62de9a43a158e4c9b460,1,$SLINK,1,⭐,1
robinhood,0x6687b0b32845e3e1ff8adb0d8ba2fc2d39adc840,1,$SLINK,1,⭐,1
robinhood,0x6b51c88b57f73cb671ff858b8024837e58980100,1,$SLINK,1,⭐,1
robinhood,0x6f7c505458ddf8ed574db46786bb82c48e1e6add,1,$SLINK,1,⭐,1
robinhood,0xae15d608f33293cbd881f4b647a76d7eaa477b3c,1,$SLINK,1,⭐,1
robinhood,0xb1fd2862967598e2f207900a9c2cf20609d51954,1,$SLINK,1,⭐,1
robinhood,0xca1182abf370b85a4e5d61903ea561bb38579e09,1,$SLINK,1,⭐,1
robinhood,0xcbcefc4f269b19b7c492be26443b4cd71357d58c,1,$SLINK,1,⭐,1
robinhood,0xfa89ed9d12bf74add8253ddfaa426c4d8a0fa603,1,$SLINK,1,⭐,1
solana,3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,3,"$TRUMP, $MELANIA, $PNUT","4, 9, 13",⭐⭐⭐,7
solana,55NQkFDwwW8noThkL9Rd5ngbgUU36fYZeos1k5ZwjGdn,3,"$WIF, $POPCAT, $MOODENG","7, 10, 14",⭐⭐⭐,7
solana,8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,3,"$TRUMP, $PNUT, $MOODENG","4, 13, 14",⭐⭐⭐,7
solana,14DRqqWwGckgju11crFXtiagMEsESMkW12DFkMKT2sAV,2,"$FARTCOIN, $PNUT","8, 13",⭐⭐,3
solana,71CPXu3TvH3iUKaY1bNkAAow24k6tjH473SsKprQBABC,2,"$MELANIA, $MOODENG","9, 14",⭐⭐,3
solana,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,2,"$USELESS, $TRUMP","1, 4",⭐⭐,3
solana,E8UeRNpgLdQBSPwJvfLhjAw5tarbe1eEY13cX2csugpa,2,"$BONK, $FARTCOIN","6, 8",⭐⭐,3
solana,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,2,"$ZCAT, $ANSEM","3, 11",⭐⭐,3
solana,j1oxqtEHFn7rUkdABJLmtVtz5fFmHFs4tCG3fWJnkHX,2,"$USELESS, $TROLL","1, 12",⭐⭐,3
solana,13HpWfti4RgXTjhYARXoB72jmW8JskzQJArkcnbUkCv1,1,$MOODENG,14,⭐,1
solana,2PLDrbX84mZJa5DZErexxqRRGovzMJEUwvYxhbtzHcQn,1,$BONK,6,⭐,1
solana,2chiHDTdMSWCeodHSvXcUa2JV8jG6pLjDBBwBuhMheoK,1,$TROLL,12,⭐,1
solana,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,1,$PNUT,13,⭐,1
solana,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,1,$PENGU,5,⭐,1
solana,37ByujbQA6wGZ9a2L1QhFZZHTNf8WYnV9BzHnhboNEYN,1,$ANSEM,11,⭐,1
solana,3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC,1,$ANSEM,11,⭐,1
solana,3a9YN1fSkH56y3PfqaxgsN68mCo7wNPjX62QBEGEB1HD,1,$MOODENG,14,⭐,1
solana,3cBB2ZyoNy8YEquSSzR2Rpggp9vcrfz4NcbCKHp7BzvT,1,$STONK,2,⭐,1
solana,3inTyfqCpLwa4U812GmB3FPcGz6iFWxHbaNpw5dPrTg2,1,$ANSEM,11,⭐,1
solana,3j54tYA187g38EjtThhLdTUcGgWSp9niy1XWntJyJZgn,1,$USELESS,1,⭐,1
solana,3jWTgYPG5s7WfaRvppPBXio4hHQxg18fLUkV2z5covSQ,1,$ZCAT,3,⭐,1
solana,3tc4BVAdzjr1JpeZu6NAjLHyp4kK3iic7TexMBYGJ4Xk,1,$MELANIA,9,⭐,1
solana,3xQDpV6N2yPyXhkViaMeMdD2RRNhVReokLhuCrK9K6hw,1,$ZCAT,3,⭐,1
solana,49FdcRN79WmjmYz46eJKPDPQRgMSjLzHJTJ3daNj3WGm,1,$FARTCOIN,8,⭐,1
solana,4E2zbwMuheneS3FniPhPwhJyauwvnuHx6SZR9ag8LmW3,1,$FARTCOIN,8,⭐,1
solana,4MpYci2vGPiwmtsPu4LHgfuy3h4skEoEZZbmSkgkx94G,1,$PENGU,5,⭐,1
solana,4UrFSCrGxgoCtCUBAEZq7ZmPK3Pczkxx7PwYnkBMi1KR,1,$STONK,2,⭐,1
solana,4WAfwi1V6jUmFasSgMK3roUo6y9mHXxcUV75tVU9NtnQ,1,$TRUMP,4,⭐,1
solana,4YMaKs8Xx1U1NyP1PTQe5J3kxZvE3bSCoVUEPgrkNXpb,1,$STONK,2,⭐,1
solana,4aMUeBL6aVCrc8gxDiAVTRAVqWhj9Fpv12N3aJZfQ13X,1,$WIF,7,⭐,1
solana,4mouYks3478R7mKibRQmeEmtKVruZRwxdzs6FKQrdDAa,1,$PNUT,13,⭐,1
solana,4oYhZNHPUZ1hMRLDUb4tzhrY2qV6WiTsCiUxZfozau5T,1,$TROLL,12,⭐,1
solana,53AidoqYzsowBHwUaiXRzAJdccfXYPAu5ZBEcdob9Hnd,1,$FARTCOIN,8,⭐,1
solana,5D6UYcnKqSHhYZUcezDaykATzu573bRM2QRurEUqQJp6,1,$MOODENG,14,⭐,1
solana,5FGoPPj1nL8LCnfVnpTmreqQtqLuMXXAwuS1uahMrp8V,1,$ANSEM,11,⭐,1
solana,5GWQpeJaSGA72iXV2czEzVSE56gY9u7RWTHDphy7enQh,1,$BONK,6,⭐,1
solana,5URyNUmhcuWdZiiQrtNdFrSbQPfq72UV2gqQasr9c19Y,1,$ANSEM,11,⭐,1
solana,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,1,$TROLL,12,⭐,1
solana,5W5vnVSX7NjaghpfMf1jyvtcQNyRffk7hDZS67rKXQpW,1,$USELESS,1,⭐,1
solana,5WV68m3DHEEQYobrxbyHaciQruQpdh2zKo84yQe5mbqF,1,$POPCAT,10,⭐,1
solana,5YPmyqB8CxEadDJHi5fvk19f6PxDmrYY5XfX5xUY1Ytq,1,$PENGU,5,⭐,1
solana,5cVkxwuTQMNZpPyw1h6xH2DiWyA6TzW2MhgcH3DKzoy9,1,$POPCAT,10,⭐,1
solana,5cvQpjBpobuLEKf2myqpwrkcX4u1ct1XuEqmgcubAV7f,1,$TRUMP,4,⭐,1
solana,5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF,1,$PNUT,13,⭐,1
solana,5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,1,$FARTCOIN,8,⭐,1
solana,65P7tCL4p2abAzru141DnNxR7jZS5rpQdSqwBo7Ke5aE,1,$USELESS,1,⭐,1
solana,69ngexW9UkgRp5KFjLpaK9XNSCxUFmps6jYmqhK3q6m9,1,$TROLL,12,⭐,1
solana,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,1,$STONK,2,⭐,1
solana,6HcrxubcevZQs1fcPTVnywzw7N2XWqsyAPxqnmg78UMg,1,$ANSEM,11,⭐,1
solana,6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr,1,$TROLL,12,⭐,1
solana,6UFLbgXz8LX19WbQWZ5zC34oVteXzLbKHXcPfE1hKhvo,1,$TRUMP,4,⭐,1
solana,6bC1yUzYRofNX2HpkwH6D5Li7qgUESMpMQTzMXEsYWjw,1,$PENGU,5,⭐,1
solana,6mNLSbzoQHmeHvX5xJ5s6bW76mCxn5ogjnep4co487Di,1,$MELANIA,9,⭐,1
solana,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,1,$TRUMP,4,⭐,1
solana,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,1,$POPCAT,10,⭐,1
solana,7GP6BzrpN5PY6Hmd3xRXUk1cyi1xLwybdD1SQ8fPoHau,1,$STONK,2,⭐,1
solana,7PypumCQ4wco2bV4UAjCwbrdCdnWwyAacjxRhX3yuz8R,1,$TRUMP,4,⭐,1
solana,7dBUi6FfM4LYkRCCJg5ou9rNVguhvrLdgBtKJQAYUj3X,1,$WIF,7,⭐,1
solana,7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,1,$BONK,6,⭐,1
solana,7fCXLR91qaRuiXayPwENWyXm9jHyD5DER2pLaEt4yciA,1,$USELESS,1,⭐,1
solana,831wZeSsgL5XDvdvFPVVBAcEYQd4EQS5cAA694vMHk3J,1,$MELANIA,9,⭐,1
solana,84tzPuhsE7cGetZtT8HwReKGzdxGrVeF5nxBcEPWDEgk,1,$POPCAT,10,⭐,1
solana,8DRxtGXP8uYQ1T5JCSN6XG6SJWkFt2TpFFf6DJvKZyXj,1,$MELANIA,9,⭐,1
solana,8Ejzv2FcS2n9qNuH3SSoreLBVBhRKcTq65aAogTirXJv,1,$PENGU,5,⭐,1
solana,8SPb3jsnmN6W5cRf22vaujf1pLSaWzh8cpUnUWBuiqdj,1,$WIF,7,⭐,1
solana,8cjpA4BHjjYz6xJr4uBhkHEzupJ8FZ7dWJZNU2v51MFi,1,$USELESS,1,⭐,1
solana,8fSnLTnRViK83dDesivTsPx2wiRhwti9xoafeMGjEyLJ,1,$PNUT,13,⭐,1
solana,8puT1eea7zaXuc4qSwWQ4DdpJe2u6DCbnkn8JvRy1Lxz,1,$WIF,7,⭐,1
solana,8qdmzy1Y2msnNUxaQng8UVP4rDwDr1koksB5H4qPc6vi,1,$TROLL,12,⭐,1
solana,8u6u372KPb4it3VLetWnGVWa8ZUSoNjyhp4YJzuMCecT,1,$PENGU,5,⭐,1
solana,93c88cdLpQMborQFKMtFHU5fkSKby72a4pNPmAn4A9iP,1,$BONK,6,⭐,1
solana,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,1,$FARTCOIN,8,⭐,1
solana,9H7nQxF1vmrr9fjcE55Y9RoTb1uhKtE7934y8Ww8oijr,1,$FARTCOIN,8,⭐,1
solana,9H9HU7RsFnovQ9jPXo4Er9EPCdNQaHEtey8f6CpAC4AZ,1,$ANSEM,11,⭐,1
solana,9SeLgFS6x25wZxfknqSFXUtH6BHQApTY2ZoyA86VggUf,1,$POPCAT,10,⭐,1
solana,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,1,$ANSEM,11,⭐,1
solana,9gbCVg3HNWKHxiBpP9RnQn3AGERgBZp8w8b3Bzy8ruVV,1,$USELESS,1,⭐,1
solana,9qpucJgTkTVSbMPksG4fequu9STgFxr9AQmLN25MwiBV,1,$TROLL,12,⭐,1
